Card#,Version,Qty,Needed,Discussion,@Background,@middle_image,amt
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_blue.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_green.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_orange.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_pink.png,,
1,1,10,1,,tile_yellow.png,,
1,1,10,1,,tile_yellow.png,,
1,1,10,1,,tile_yellow.png,,
1,1,10,1,,tile_yellow.png,,
1,1,10,1,,tile_yellow.png,,
1,1,10,1,,tile_yellow.png,,
1,1,10,1,,tile_yellow.png,,
1,1,10,1,,tile_yellow.png,,
1,1,10,1,,tile_yellow.png,,
1,1,10,1,,tile_yellow.png,,
